url,title,image_url,crop_areas,errors
ttycrocker.com/recipes/lemon-strawberry-shortcake-trifle/84f6f973-c0df-4c88-b720-f715569304bd,Lemon Strawberry Shortcake Trifle,http://s3.amazonaws.com/gmi-digital-library/37dedaaf-a960-40d6-bbc8-4cbe3e746c30.jpg,,Invalid URL
http://www.bettycrocker.com/recipes/mothers-day-grilled-chicken/4809144d-8c67-40e5-8df9-333bb5455508,Mother's Day Grilled Chicken,http://s3.amazonaws.com/gmi-digital-library/9eae5c34-9911-4c2d-a7d5-0d5e933665d6.jpg,,
http://www.bettycrocker.com/menus-holidays-parties/mhplibrary/holidays/mothers-day-cake,How to Make a Great Mother's Day Cake,http://www.bettycrocker.com/~/media/Images/Bettys Dish/Headers/Refreshed-Blogs/Mothers-Day-Cake/MothersDayCake_Header.jpg,,
http://www.bettycrocker.com/menus-holidays-parties/mhplibrary/holidays/10-fuss-free-mothers-day-breakfasts,10 Fuss-Free Mother's Day Breakfasts,http://www.bettycrocker.com/~/media/Images/Betty-Crocker/Menus-Holidays-Parties/MHPLibrary/Holidays/10-Fuss-Free-Mothers-Day-Breakfasts/10-Fuss-Free-Mothers-Day-Breakfasts_hero.jpg,,
http://www.bettycrocker.com/menus-holidays-parties/mhplibrary/holidays/6-mothers-day-breakfasts-kids-can-make,6 Mother's Day Breakfasts Kids Can Make,http://www.bettycrocker.com/~/media/Images/Betty-Crocker/Menus-Holidays-Parties/MHPLibrary/Holidays/6-Mothers-Day-Breakfasts-Kids-Can-Make/6-Mothers-Day-Breakfasts-Kids-Can-Make_hero.jpg,,
http://www.bettycrocker.com/menus-holidays-parties/mhplibrary/holidays/easy-mothers-day-menus,5 Awesome Mother's Day Brunch Menus,http://www.bettycrocker.com/~/media/Images/Betty-Crocker/Menus-Holidays-Parties/MHPLibrary/Holidays/Migration - Holidays/Easy-Mothers-Day-Menus_heroB.jpg,,
http://www.bettycrocker.com/recipes/banana-bread-french-toast/eae365cd-e318-401b-aec6-63fa8fda589a,Banana Bread French Toast,http://s3.amazonaws.com/gmi-digital-library/1f422f17-31e6-4aa1-9843-f643d53256ee.jpg,,
http://www.bettycrocker.com/recipes/overnight-tex-mex-egg-bake/ddb36155-a55e-48ff-bbb9-d377586f228f,Overnight Tex-Mex Egg Bake,http://s3.amazonaws.com/gmi-digital-library/1cfbf83b-97ea-48c3-8560-faf4ed246a95.jpg,,
http://www.bettycrocker.com/recipes/lemon-topped-celebration-cake/4482e9d2-64c7-4c84-aeaf-4df3b3f7a19b,Lemon-Topped Celebration Cake,http://s3.amazonaws.com/gmi-digital-library/ec5cd3e1-0343-4b3c-900a-b49de21fe8ba.jpg,,
http://www.bettycrocker.com/menus-holidays-parties/mhplibrary/holidays/best-mothers-day-roses,Best Mother's Day Wines,http://www.bettycrocker.com/~/media/Images/Betty-Crocker/Menus-Holidays-Parties/MHPLibrary/Holidays/Migration - Holidays/Best-Mothers-Day-Roses_hero.jpg,,
http://www.bettycrocker.com/menus-holidays-parties/mhplibrary/holidays/9-brunches-fit-for-a-queen,9 Brunches Fit for a Queen,http://www.bettycrocker.com/~/media/Images/Betty-Crocker/Menus-Holidays-Parties/MHPLibrary/Holidays/9-brunches-fit-for-a-queen/9-brunches-fit-for-a-queen-hero.jpg,,
http://www.bettycrocker.com/recipes/event-or-occasion/mothers-day-recipes/no-fuss-morning-meals-for-mom,No-Fuss Morning Meals for Mom,http://www.bettycrocker.com/~/media/Images/Recipe-Collections/Event-Occasion/Mothers-Day/MorningMealsMom_header.jpg,,
http://www.bettycrocker.com/recipes/boozy-french-toast-cups/41c170ca-ff52-45b6-9f43-0b5451b5879a,Boozy French Toast Cups for Mother's Day Brunch,http://s3.amazonaws.com/gmi-digital-library/1ec1eeb7-eab5-4972-845e-8f1f86e5fb60.jpg,,
http://www.bettycrocker.com/recipes/sunflower-cupcakes-bouquet/3d13b907-f3d8-451a-b105-f7489a46d95f,Sunflower Cupcakes Bouquet,http://s3.amazonaws.com/gmi-digital-library/2cd568c0-1ce4-4ba0-90af-85fc9bb0b5e5.jpg,,
http://www.bettycrocker.com/recipes/bananas-foster-french-toast/bd9318cb-0874-4f3d-86cc-63cf86dfce2f,Bananas Foster French Toast,http://s3.amazonaws.com/gmi-digital-library/8e068e53-136a-430c-bcc7-1b58efeaed8f.jpg,,
